Title,Author
Beaver's lodge,"Schubert, Ingrid, 1953-"
Beavers,"Donohue, Moira Rose,"
Beavers and other rodents,"Goldish, Meish."
Because a little bug went ka-choo!,"Stone, Rosetta."
Because I could not stop my bike : and other poems,"Shapiro, Karen Jo, 1964-"
Because I had a teacher,"Yamada, Kobi."
Because of Anya,"Haddix, Margaret Peterson."
Because of Mr. Terupt,"Buyea, Rob."
Because of the rabbit,"Lord, Cynthia."
Because of Winn-Dixie,"DiCamillo, Kate."
Beck and the great berry battle,"Driscoll, Laura."
Beck beyond the sea,"Morris, Kimberly."
Becoming a citizen,"De Capua, Sarah."
Becoming butterflies,"Rockwell, Anne F."
Bedhead,"Palatini, Margie."
Bedtime for Frances,"Hoban, Russell."
Bedtime for monsters,"Vere, Ed."
Bee,"Watts, Barrie."
Beegu,"Deacon, Alexis."
Beetle McGrady eats bugs!,"McDonald, Megan."
Beezus and Ramona,"Cleary, Beverly."
Before Columbus : the Leif Eriksson expedition,"Kimmel, Elizabeth Cody."
Before the bell,"Thorpe, Kiki."
Beginning golf,"Curtis, Bruce."
Behind the masks : the diary of Angeline Reddy,"Patron, Susan."
Being Binah,"Madonna, 1958-"
Being friends,"Beaumont, Karen."
"Believe me, Goldilocks rocks! : the story of the three bears as told by Baby Bear","Loewen, Nancy, 1964-"
Belinda and the glass slipper,"Young, Amy."
Belinda the ballerina,"Young, Amy."
Bell buzzers : a book of knock-knock jokes,"Dahl, Michael."
Bell's breakthrough,"Deutsch, Stacia."
Bella,"Miles, Ellen."
Bella Tabbypaw in trouble,"Meadows, Daisy."
Bella the bunny fairy,"Meadows, Daisy."
Bella's gift,"Brown, Felicity."
Belle the birthday fairy,"Meadows, Daisy."
Belling the cat : a retelling of Aesop's fable,"Blair, Eric."
Ben and me : a new and astonishing life of Benjamin Franklin as written by his good mouse Amos,"Lawson, Robert, 1892-1957."
Beneath,"Smith, Roland."
Benedict Arnold,"Gregson, Susan R."
Benedict Arnold : American hero and traitor,"Burgan, Michael."
Benjamin Banneker,"Welch, Catherine A."
Benjamin Franklin,"Gregson, Susan R."
Benjamin Franklin,"Mara, Wil,"
Benjamin Franklin,"McLeese, Don."
Benjamin Franklin,"Raatma, Lucia."
Benjamin Franklin,"Rustad, Martha E. H. (Martha Elizabeth Hillman), 1975-"
Benjamin Franklin,"Sherrow, Victoria."
Benjamin Franklin : a photo-illustrated biography,"Usel, T. M."
Benjamin Franklin : an American genius,"Olson, Kay Melchisedech."
Benny the big shot goes to camp,"Bader, Bonnie, 1961-"
Benny's new friend,"Warner, Gertrude Chandler, 1890-1979."
Bently & egg,"Joyce, William."
Berlioz the bear,"Brett, Jan, 1949-"
Bernard Pepperlin,"Hoffman, Cara,"
Bertha takes a drive : how the Benz automobile changed the world,"Adkins, Jan, 1944-,"
Bess and Tess,"Blackaby, Susan."
Bessie Coleman : daring stunt pilot,"Robbins, Trina."
Best (boy)friend forever,"Morgan, Melissa J."
Best friend Emma,"Warner, Sally, 1946-"
Best friends,"Labaronne, Charlotte."
Best friends and drama queens,"Cabot, Meg."
Best friends for Frances,"Hoban, Russell."
Best kept secret : the third generation,"Martin, Ann M., 1955-"
Best knock-knock book ever,"Keller, Charles."
Best practices in literacy instruction,"Lesley Mandel Morrow, Linda B. Gambrell, Michael Pressley, editors ; foreword by Dorothy S. Strickland."
Betcha!,"Murphy, Stuart J., 1942-"
Betsy Ross,"Armentrout, David, 1962-"
Betsy Ross,"Wallner, Alexandra."
Betsy who cried wolf,"Levine, Gail Carson."
Betta fish,"McCarthy, Cecilia Pinto."
Better to wish,"Martin, Ann M., 1955 -"
Beverly Billingsly borrows a book,"Stadler, Alexander."
Beverly Cleary,"Meister, Cari."
Beware of the storybook wolves,"Child, Lauren."
Beware! It's Friday the 13th,"McMullan, Kate."
Beyond Little women : a story about Louisa May Alcott,"Aller, Susan Bivin."
Beyond the burning time,"Lasky, Kathryn."
Beyond the Deepwoods,"Stewart, Paul."
Beyond the grave,"Watson, Jude."
Beyond the grave : a choose your own ending mystery adventure,"Enderle, Dotti, 1954-"
Beyond the kingdoms,"Colfer, Chris, 1990-"
Beyond the Valley of Thorns,"Carman, Patrick."
Bicycle safety,"Raatma, Lucia."
Bicycles,"Oxlade, Chris."
Big Al,"Clements, Andrew, 1949-"
Big Al and Shrimpy,"Clements, Andrew, 1949-"
Big and Little are best friends,"Garland, Michael, 1952-"
Big and small,"Jeffries, Joyce."
Big Anthony : his story,"DePaola, Tomie, 1934-"
Big Anthony and the magic ring,"DePaola, Tomie, 1934-"
Big Bad Wolf,"Masurel, Claire."
Big bad wolf is good,"Puttock, Simon."
Big bear ball,"Ryder, Joanne."
Big Bunny,"Watkins, Rowboat, 1967-"
"Big cat, little cat","Cooper, Elisha,"
Big cats,"Clarke, Penny."
Big chickens,"Helakoski, Leslie."
Big Dog and Little Dog go sailing,"Young, Selina."
Big Dog and Little Dog visit the moon,"Young, Selina."
Big dog...little dog,"Eastman, P. D. (Philip D.)"
Big Jabe,"Nolen, Jerdine."
Big mouth Elizabeth : an A is for Elizabeth book,"Vail, Rachel,"
Big Nate : great minds think alike,"Peirce, Lincoln,"
Big Nate : revenge of the Cream Puffs,"Peirce, Lincoln."
Big Nate : say good-bye to Dork City,"Peirce, Lincoln."
Big Nate : silent but deadly,"Peirce, Lincoln."
Big Nate : the crowd goes wild!,"Peirce, Lincoln."
Big Nate : welcome to my world,"Peirce, Lincoln."
Big Nate game on!,"Peirce, Lincoln."
Big Nate genius mode,"Peirce, Lincoln."
Big Nate goes bananas!,"Peirce, Lincoln."
Big Nate goes for broke,"Peirce, Lincoln."
Big Nate here goes nothing,"Peirce, Lincoln."
Big Nate in the zone,"Peirce, Lincoln,"
Big Nate lives it up,"Peirce, Lincoln."
Big Nate makes the grade,"Peirce, Lincoln."
Big Nate Mr. Popularity,"Peirce, Lincoln,"
Big Nate on a Roll.,"Peirce, Lincoln."
"Big Nate thunka, thunka, thunka","Peirce, Lincoln."
Big Nate what could possibly go wrong?,"Peirce, Lincoln."
Big Nate: From the top.,"Peirce, Lincoln."
Big Nate: Out loud.,"Peirce, Lincoln."
Big pumpkin,"Silverman, Erica."
Big Red,"Kjelgaard, Jim, 1910-1959."
Big red barn,"Brown, Margaret Wise, 1910-1952."
"Big snowman, little snowman","Rabe, Tish."
Big top flop,"Keene, Carolyn."
Big whopper,"Giff, Patricia Reilly."
Big worry in Wonderland,"Keene, Carolyn."
Big-enough Anna : the little sled dog who braved the Arctic,"Flowers, Pam."
Big-sister blues,"Madonna, 1958-"
"Big, bad and a little bit scary : poems that bite back!",Wade Zahares.
Bigfoot,"Cox, Greg, 1959-"
Bigfoot Cinderrrrrella,"Johnston, Tony, 1942-"
"Bigger, better, best!","Murphy, Stuart J., 1942-"
"Biggest, strongest, fastest","Jenkins, Steve, 1952-"
Bill and Pete,"DePaola, Tomie, 1934-"
Bill and Pete go down the Nile,"DePaola, Tomie, 1934-"
Bill and Pete to the rescue,"DePaola, Tomie, 1934-"
Bill Gates,"Lesinski, Jeanne M."
Bill in a china shop,"Weaver, Katie."
Bill's baggy pants,"Gates, Susan."
Billions of bats : a Buzz Beaker Brainstorm,"Nickel, Scott."
Billy and the big new school,"Anholt, Laurence."
Billy Beast,"Anholt, Laurence."
Billy Bones : a tale from the secrets closet,"Lincoln, Christopher, 1952-"
Billy the Kid,"Green, Carl R."
Billy Tibbles moves out!,"Fearnley, Jan."
Bink & Gollie,"DiCamillo, Kate."
Bird & Squirrel on fire,"Burks, James (James R.)"
Bird & Squirrel on ice,"Burks, James (James R.),"
Bird & Squirrel on the edge!,"Burks, James (James R.)"
Bird & Squirrel on the run!,"Burks, James (James R.)"
Birds,"Davies, Nicola."
Birds,"James, Diane."
Birds : a 4D book,"Lee, Sally, 1943-"
Birds that don't fly,"Kalman, Bobbie."
"Birds, nests, and eggs","Boring, Mel, 1939-"
Birthday mice!,"Roberts, Bethany."
Birthday presents,"Rylant, Cynthia."
Birthday zoo,"Rose, Deborah Lee."
Biscuit,"Capucilli, Alyssa Satin, 1957-"
Biscuit and the baby,"Capucilli, Alyssa Satin, 1957-"
Biscuit finds a friend,"Capucilli, Alyssa Satin, 1957-"
Biscuit goes to school,"Capucilli, Alyssa Satin, 1957-"
Biscuit visits the doctor,"Capucilli, Alyssa Satin, 1957-"
Biscuit wants to play,"Capucilli, Alyssa Satin,"
Biscuit wins a prize,"Capucilli, Alyssa Satin, 1957-"
Biscuit's big friend,"Capucilli, Alyssa Satin,"
Biscuit's new trick,"Capucilli, Alyssa Satin, 1957-"
Biscuit's Valentine's Day,"Capucilli, Alyssa Satin, 1957-"
Bison,"Grunbaum, Mara,"
Bizarre beings,"Banks, Cameron."
Bizzy Mizz Lizzie,"Shannon, David, 1959-"
Black bears,"Murray, Julie, 1969-"
Black water,"MacHale, D. J."
Black widow spiders,"Murray, Julie, 1969-"
Blackbeard : eighteenth-century pirate of the Spanish main and Carolina coast,"Weintraub, Aileen, 1973-"
Blackbeard's sword : the pirate king of the Carolinas,"O'Donnell, Liam, 1970-"
Blast to the past,"Nickel, Scott."
Bless this mouse,"Aston, Dianna Hutts."
"Bless you, Santa!","Sykes, Julie."
Blister,"Shreve, Susan Richards."
Blizzard,"Doman, Mary Kate."
Blizzard of the blue moon,"Osborne, Mary Pope."
Blizzards,"Murray, Julie, 1969-"
Block party,"Hooks, Gwendolyn,"
Blood gold,"Cadnum, Michael."
Blood in the library,"Dahl, Michael."
Blood on the river : James Town 1607,"Carbone, Elisa Lynn."
Blood ties,"Nix, Garth,"
Blowfish live in the sea,"Fox, Paula."
Blown away!,"Harlow, Joan Hiatt."
Blubber,"Blume, Judy."
Blue chameleon,"Gravett, Emily."
Blue horse,"Stephens, Helen, 1972-"
Blue princess takes the stage,"Crowne, Alyssa, 1965-"
Blue Rabbit and friends,"Wormell, Christopher."
Blue Ridge Mountains,"Bennett, Doraine, 1953-"
Blue whales,"Murray, Julie, 1969-"
Blueberries for Sal,"McCloskey, Robert, 1914-2003."
BMX racing,"Gutman, Bill."
Boardsailing,"Perry, Phyllis Jean."
Boat ride with Lillian Two Blossom,"Polacco, Patricia."
Bob,"Pearson, Tracey Campbell."
Bob and Otto,"Bruel, Robert O."
Bob's white Christmas,"Inches, Alison."
Bobby vs. girls (accidentally),"Yee, Lisa."
Bobcats,"Arnold, Caroline."
Bobcats,"Leighton, Christina,"
Body check,"Hirschfeld, Robert, 1942-"
Bok! bok! boom!,"Marko, Cyndi."
Bomb : the race to build and steal the world's most dangerous weapon,"Sheinkin, Steve."
Bomb squad technician,"Gordon, Nick."
Bon voyage / Book 3,"Alter, Anna, 1974-"
Bone: Eyes of the Storm.,Jeff Smith.
Bone: The Dragonslayer.,Jeff Smith.
"Bone. [9], Crown of horns","Smith, Jeff, 1960 February 27-"
Bones in the Badlands,"Ransom, Candice F., 1952-"
"Bonjour, Mr. Satie","DePaola, Tomie, 1934-"
Bony back : the adventure of stegosaurus,"Dahl, Michael."
Boo crew,"Keene, Carolyn."
Boo-hoo moo,"Palatini, Margie."
Boo! : ghosts in the school!,"Lerangis, Peter."
Boo! : Halloween poems and limericks,"Hubbell, Patricia."
Boo! made you jump!,"Child, Lauren."
Book Fair Day,"Plourde, Lynn."
Book of the dead,"Northrop, Michael,"
Book! book! book!,"Bruss, Deborah."
Booked,"Alexander, Kwame."
Booker T. Washington,"Schaefer, Lola M., 1950-"
"Booker T. Washington : teacher, speaker, and leader","Slade, Suzanne."
Booktales,"Phelps, Joan Hilyer."
Boomer,"Miles, Ellen."
Boomer goes to school,"McGeorge, Constance W."
Boots and the Seven Leaguers : a rock-and-troll novel,"Yolen, Jane."
Boris for the win,"Joyner, Andrew."
Boris gets a lizard,"Joyner, Andrew."
Boris on the move,"Joyner, Andrew."
Boris sees the light,"Joyner, Andrew."
Born to be a butterfly,"Wallace, Karen."
Born to rock,"Patterson, James, 1947-"
Boss for a day,"DePaola, Tomie, 1934-"
Boston Tea Party,"Edwards, Pamela Duncan."
Bottle-nosed dolphins,"Murray, Julie, 1969-"
Bounce,"Cronin, Doreen."
Bound for danger,"Dixon, Franklin W."
Boundless Grace,"Hoffman, Mary, 1945-"
Bow wow,"Quinn, Spencer."
Bow wow meow meow : it's rhyming cats and dogs,"Florian, Douglas."
Box Turtle at Silver Pond Lane,"Korman, Susan."
Boxes for Katje,"Fleming, Candace."
Boxing,"Grabowski, John F."
Boy + Bot,"Dyckman, Ame."
"Boy, oh boy!","Dower, Laura."
"Boy, were we wrong about dinosaurs!","Kudlinski, Kathleen V."
Boys in control,"Naylor, Phyllis Reynolds."
Boys rock!,"Naylor, Phyllis Reynolds."
Brachiosaurus,"Cohen, Daniel, 1936-"
Brachiosaurus : a 4D book,"Gagne, Tammy."
Brain compatible strategies,"Jensen, Eric."
Brainboy and the Deathmaster,"Seidler, Tor."
Bramblestar's storm,"Hunter, Erin."
"Brand-new pencils, brand-new books","De Groat, Diane."
Brass instruments,"Sharth, Sharon."
Brave Harriet : the first woman to fly the English Channel,"Moss, Marissa."
Brave Irene,"Steig, William, 1907-2003."
"Bravo, Livingstone Mouse!","Edwards, Pamela Duncan."
Brawl of the wild,"Pilkey, Dav, 1966-"
Bread and jam for Frances,"Hoban, Russell."
Breakaway,"Hirsch, Jeff."
Breakfast at Danny's Diner,"Stamper, Judith Bauer."
Breaking free,"Brooke, Lauren."
Breaking Stalin's nose,"Yelchin, Eugene."
Breakout at the bug lab,"Horowitz, Ruth."
Breathe : a ghost story,"McNish, Cliff."
Brer Rabbit and Boss Lion,"Kessler, Brad."
Brian & Bob : the tale of two guinea pigs,"Ripper, Georgie."
Brian's hunt,"Paulsen, Gary."
Brian's return,"Paulsen, Gary."
Brian's winter,"Paulsen, Gary."
Bridge to Terabithia,"Paterson, Katherine."
Bright and early Thursday evening : a tangled tale,"Wood, Audrey."
Bright lights and shadowy shapes,"Waters, Jennifer."
Brightest in the sky : the planet Venus,"Loewen, Nancy, 1964-"
Brightheart the knight's pony,"Shire, Poppy."
Bringing out their best : values education and character development through traditional tales,"Livo, Norma J., 1929-"
Bringing the rain to Kapiti Plain : a Nandi tale,"Aardema, Verna."
"Brisingr, or, The seven promises of Eragon Shadeslayer and Saphira Bjartskular","Paolini, Christopher."
Broken ground,"Schwab, Victoria"
Broken pride,"Hunter, Erin."
Bronto eats meat,"Maloney, Peter, 1955 Nov. 7-"
Broom mates,"Palatini, Margie."
Brooms are for flying!,"Rex, Michael."
Brother/sister squad,"Rusu, Meredith."
"Brown bear, brown bear, what do you see?","Martin, Bill."
Brown girl dreaming,"Woodson, Jacqueline,"
Bruce's big fun day,"Higgins, Ryan T."
Bub Moose,"Wallace, Carol, 1955-"
"Bub, Snow, and the Burly Bear scare","Wallace, Carol, 1948-"
Bubba and Beau best friends,"Appelt, Kathi, 1954-"
Bubba and Beau go night-night,"Appelt, Kathi, 1954-"
Bubba and Beau meet the relatives,"Appelt, Kathi, 1954-"
Bubba the cowboy prince : a fractured Texas tale,"Ketteman, Helen."
Bubble bath pirates,"Krosoczka, Jarrett."
"Bubble gum, bubble gum","Wheeler, Lisa, 1963-"
Bubble trouble,"Hulme, Joy N."
Bubble trouble,"Krensky, Stephen."
Bubble-gum radar,"Wells, Rosemary."
"Bud Barkin, private eye","Howe, James, 1946-"
"Bud, not Buddy","Curtis, Christopher Paul."
Buddhism,"Wilkinson, Philip."
Buddy is a stupid name for a girl,"Roberts, Willo Davis."
"Buenas noches, Luna","Brown, Margaret Wise, 1910-1952."
Buffalo before breakfast,"Osborne, Mary Pope."
Buffalo Bill Cody,"Shields, Charles J., 1951-"
Bug boys,"Knetzger, Laura, 1990-"
Bug dance,"Murphy, Stuart J., 1942-"
Bug Muldoon : the garden of fear,"Shipton, Paul."
Bug off! : a LEGO adventure in the real world,"Arlon, Penelope."
Build this city!,"Steele, Michael Anthony."
Builder brothers big plans,"Scott, Jonathan & Drew."
"Builders, traders, & craftsmen","Shuter, Jane."
Bulldozer,"Askew, Amanda."
Bulldozers,"Stille, Darlene R."
Bullet trains,"Riggs, Kate."
Bullfrog at Magnolia Circle,"Dennard, Deborah."
Bullfrogs,"Wechsler, Doug."
Bullies are a pain in the brain,"Romain, Trevor."
Bullies never win,"Cuyler, Margery."
Bully,"Seeger, Laura Vaccaro."
Bully B.E.A.N.S.,"Cook, Julia."
Bumblebee at Apple Tree Lane,"Galvin, Laura Gates, 1963-"
Bunnicula : a rabbit-tale of mystery,"Howe, Deborah."
Bunnicula strikes again!,"Howe, James, 1946-"
Bunnies on the go : getting from place to place,"Walton, Rick."
Bunny and the beast,"Coxe, Molly."
Bunny business,"Poydar, Nancy."
"Bunny double, we're in trouble!","Gutman, Dan."
Bunny money,"Wells, Rosemary."
Bunny tails,"Brenner, Barbara."
Bunny trouble,"Wilhelm, Hans."
Bunny's noisy book,"Brown, Margaret Wise, 1910-1952."
Buried in the backyard,"Herman, Gail, 1959-"
Burns rubber,"Holm, Jennifer L."
"Bus stop, bus go!","Kirk, Daniel."
Bus-a-saurus bop,"Shore, Diane ZuHone."
Buster,"Fleming, Denise, 1950-"
Buster & Phoebe : the great bone game,"Bechtold, Lisze."
"Buster Baxter, cat saver","Krensky, Stephen."
Buster goes to Cowboy Camp,"Fleming, Denise, 1950-"
Buster makes the grade,"Krensky, Stephen."
"Buster, the very shy dog","Bechtold, Lisze."
Buster's dino dilemma,"Krensky, Stephen."
Busy busy moose,"Van Laan, Nancy."
But excuse me that is my book,"Child, Lauren."
But I am an alligator,"Child, Lauren."
But I've used all of my pocket change,"Child, Lauren."
"But mom, everybody else does","Winters, Kay."
Butterflies,"Leaf, Christina,"
Butterflies,"Shaw, Nancy J., 1952-"
Butterflies for Kiri,"Falwell, Cathryn."
Butterflies in the garden,"Lerner, Carol."
Butterfly,"Magloff, Lisa."
Butterfly count,"Collard, Sneed B."
Butterfly house,"Bunting, Eve, 1928-"
Buttermilk-bear,"Cosgrove, Stephen."
Butternut Hollow Pond,"Heinz, Brian J., 1946-"
Buzz's backpack adventure,"Jordan, Apple."
Buzzing with questions : the inquisitive mind of Charles Henry Turner,"Harrington, Janice N.,"
By a blazing blue sea,"Garne, S. T."
By the dawn's early light : the story of the Star-spangled banner,"Kroll, Steven."
By word of mouse,"Spohn, Kate."
Byrd & Igloo : a polar adventure,"Seiple, Samantha,"
C is for centennial : a Colorado alphabet,"Whitney, Louise Doak."
C is for cowboy : a Wyoming alphabet,"Gagliano, Eugene M."
Cabin fever,"Kinney, Jeff."
Cabot : John Cabot and the journey to Newfoundland,"Doak, Robin S. (Robin Santos), 1963-"
"Caesar's story, 1759","Nixon, Joan Lowery."
Caitlin the ice bear fairy,"Meadows, Daisy."
Calamity Jane,"Brimner, Larry Dane."
Calamity Jane : frontier original,"Sanford, William R. (William Reynolds), 1927-"
Calculator riddles,"Adler, David A."
Caleb's story,"MacLachlan, Patricia."
California condors,"Martin, Patricia A. Fink, 1955-"
Calling Doctor Amelia Bedelia,"Parish, Herman."
Cam Jansen and the catnapping mystery,"Adler, David A."
Cam Jansen and the first day of school mystery,"Adler, David A."
Cam Jansen and the scary snake mystery,"Adler, David A."
Cam Jansen and the school play mystery,"Adler, David A."
Cam Jansen and the snowy day mystery,"Adler, David A."
Cam Jansen and the tennis trophy mystery,"Adler, David A."
Cam Jansen and the Valentine baby mystery,"Adler, David A."
Camp,"Doman, Mary Kate."
Camp Babymouse,"Holm, Jennifer L."
Camp Buccaneer,"James, Brian, 1976-"
Camp daze,"Bruel, Nick,"
Camp rules!,"Krulik, Nancy E."
Campfire chef : mouthwatering campfire recipes,"Omoth, Tyler,"
Campfire ghost stories. Volume II,"Mott, A.S."
Campfire Mallory,"Friedman, Laurie B., 1964-"
Camping catastrophe!,"Klein, Abby."
Camping.,"Green, Sara."
Can I be good?,"Taylor, Livingston."
Can I be your dog?,"Cummings, Troy."
Can I play too?,"Willems, Mo."
"Can you do this, Old Badger?","Bunting, Eve, 1928-"
Can you get an F in lunch?,"Krulik, Nancy E."
Can you hear the trees talking? : discovering the hidden life of the forest,"Wohlleben, Peter, 1964-"
Can you make a piggy giggle?,"Ashman, Linda."
Can you make a scary face?,"Thomas, Jan."
Can you see the red balloon?,"Blackstone, Stella."
Can you see what I see? : out of this world,"Wick, Walter, 1953-"
Can you spot a Jedi?,"Last, Shari."
"Can't you make them behave, King George?","Fritz, Jean."
"Can't you sleep, Little Bear?","Waddell, Martin."
Canada,"Quigley, Mary, 1963-"
Candy Kingdom chaos,"Keene, Carolyn."
Candy shop,"Wahl, Jan."
Canoe days,"Paulsen, Gary."
Canoeing,"Salas, Laura Purdie."
Canoeing.,"Green, Sara."
Canyon,"Cameron, Eileen."
Cap'n Smudge,"Cosgrove, Stephen."
Cape Mermaid mystery,"Keene, Carolyn."
Capital,"Curlee, Lynn."
"Caps for sale : a tale of a peddler, some monkeys, and their monkey business","Slobodkina, Esphyr, 1908-2002."
"Caps, hats, socks, and mittens : a book about the four seasons","Borden, Louise."
Captain Bob sets sail,"Schotter, Roni."
Captain Bob takes flight,"Schotter, Roni."
Captain Duck,"Alborough, Jez."
Captain Flinn and the pirate dinosaurs : missing treasure!,"Andreae, Giles, 1966-"
Captain Invincible and the space shapes,"Murphy, Stuart J., 1942-"
Captain James Cook,"Broderick, Enid."
Captain John Smith,"Kline, Trish."
Captain Kidd : seventeenth-century pirate of the Indian Ocean and African coast,"Weintraub, Aileen, 1973-"
Captain Nobody,"Pitchford, Dean."
Captain Stormalong,"Brimner, Larry Dane."
Captain Underpants and the attack of the talking toilets,"Pilkey, Dav, 1966-"
Captain Underpants and the attack of the talking toilets : another epic novel,"Pilkey, Dav, 1966-"
"Captain Underpants and the big, bad battle of the Bionic Booger Boy, part 1 : the night of the nasty nostril nuggets : the sixth epic novel","Pilkey, Dav, 1966-"
"Captain Underpants and the big, bad battle of the Bionic Booger Boy, part 2 : the revenge of the ridiculous Robo-Boogers : the seventh epic novel","Pilkey, Dav, 1966-"
"Captain Underpants and the big, bad battle of the Bionic Booger Boy. Part 1, The night of the nasty nostril nuggets : the sixth epic novel","Pilkey, Dav, 1966-"
"Captain Underpants and the big, bad battle of the Bionic Booger Boy. Part 2, The revenge of the ridiculous robo-boogers : the seventh epic novel","Pilkey, Dav, 1966-"
Captain Underpants and the invasion of the incredibly naughty cafeteria ladies from outer space (and the subsequent assault of the equally evil lunchr,"Pilkey, Dav, 1966-"
Captain Underpants and the perilous plot of Professor Poopypants : the fourth epic novel,"Pilkey, Dav, 1966-"
Captain Underpants and the preposterous plight of the purple potty people : the eighth epic novel,"Pilkey, Dav, 1966-"
Captain Underpants and the revolting revenge of the Radioactive Robo-Boxers : the tenth epic novel,"Pilkey, Dav, 1966-"
Captain Underpants and the sensational saga of Sir Stinks-A-Lot,"Pilkey, Dav, 1966-"
Captain Underpants and the terrifying return of Tippy Tinkletrousers : the ninth epic novel,"Pilkey, Dav, 1966-"
Captain Underpants and the tyrannical retaliation of the Turbo Toilet 2000,"Pilkey, Dav, 1966-"
Captain Underpants and the wrath of the wicked Wedgie Woman : the fifth epic novel,"Pilkey, Dav, 1966-"
Captain Underpants: the first epic movie. Official handbook,"Howard, Kate."
Capture the flag,"Messner, Kate."
Cara the camp fairy,"Meadows, Daisy."
Caramel moon,"Perelman, Helen."
Cardinals,"Murray, Julie, 1969-"
"Careful, Santa!","Sykes, Julie."
Cargadores,Amanda Askew.
Caring for my new hamster,"Bankston, John, 1974-"
Caring for your horse,"Lomberg, Michelle."
Caring for your rabbit,"Foran, Jill."
Carl Sandburg,edited by Frances Schoonmaker Bolin ; illustrated by Steve Arcella.
Carlotta's kittens and the Club of Mysteries,"Naylor, Phyllis Reynolds."
Carmen learns English,"Cox, Judy."
Carnival,"Flanagan, Alice K."
Carnival at candlelight,"Osborne, Mary Pope."
Carnival capers!,"Esquivel, Eric M., 1987-"
Carolina crow girl,"Hobbs, Valerie."
Carrie measures up,"Aber, Linda Williams."
Cars and trucks,"Lajiness, Katie."
Cartier : Jacques Cartier in search of the Northwest Passage,"Blashfield, Jean F."
Case closed : 40 mini-mysteries for you to solve,"Obrist, Jürg."
Case of the sneaky snowman,"Keene, Carolyn."
"Casey at the bat : a ballad of the Republic, sung in the year 1888","Thayer, Ernest Lawrence, 1863-1940."
"Cash, credit cards, or checks : a book about payment methods","Loewen, Nancy, 1964-"
Cashiers,"Bagley, Katie."
Cassie the concert fairy,"Meadows, Daisy."
Cassie's word quilt,"Ringgold, Faith."
Castle Dracula : Romania's vampire home,"Knox, Barbara."
Castles,"Steele, Philip, 1948-"
"Castles, caves, and honeycombs","Ashman, Linda."
Cat and mouse in the night,"Bogacki, Tomasz."
Cat and mouse in the snow,"Bogacki, Tomasz."
Cat burglar caper,"Keene, Carolyn."
Cat care,"Gardeski, Christina Mia."
"Cat care : nutrition, exercise, grooming, and more","Bacon, Carly J.,"
Cat Heaven,"Rylant, Cynthia."
Cat secrets,"Czekaj, Jef."
Cat show,"Harvey, Jayne."
Cat shows : competing for top prize,"Rissman, Rebecca."
Cat skidoo,"Roberts, Bethany."
Cat speak : revealing answers to the strangest cat behaviors,"Webster, Maureen, 1959-"
Catalina Magdalena Hoopensteiner Wallendiner Hogan Logan Bogan was her name,"Arnold, Tedd."
Catch the bouquet!,"Madonna, 1958-"
Catching sunlight : a book about leaves,"Blackaby, Susan."
Caterpillars,"Llewellyn, Claire."
Catholic faith in America,"Gillis, Chester, 1951-"
Cats,"Lajiness, Katie."
Cats,"Miller, Michaela, 1961-"
Cats : nature and nurture,"Hirsch, Andy, 1987-"
Cats are like that,"Weston, Martha."
Cats in the city,"Watson, Tom, 1965-"
Cats of the Clans,"Hunter, Erin."
"Cats, cats, cats!","Newman, Lesléa."
Catundra,"Cosgrove, Stephen."
Caught,"Haddix, Margaret Peterson."
Caught in the web,"Dower, Laura."
Cave of the bookworms,"Dahl, Michael."
Cave of wonders,"Kirby, Matthew J."
Cave secret,"Weiss, Ellen, 1949-"
Caves and caverns,"Gibbons, Gail."
Cece loves science and adventure,"Derting, Kimberly."
Cecily G. and the 9 monkeys,"Rey, H. A. (Hans Augusto), 1898-1977."
Celebrate the 50 states,"Leedy, Loreen."
Celebrating Passover,"Hoyt-Goldsmith, Diane."
Celebrating Ramadan,"Hoyt-Goldsmith, Diane."
"Celestine, drama queen","Ives, Penny."
Cells,"DuPrau, Jeanne."
Cendrillon : a Cajun Cinderella,"Collins, Sheila Hebert."
Cendrillon : a Caribbean Cinderella,"San Souci, Robert D."
Centipede's 100 shoes,"Ross, Tony."
Centrosaurus and other dinosaurs of cold places,"Dixon, Dougal."
Cesar Chavez,"Dunn, Joeming W."
Cesar Chavez : a photo-illustrated biography,"Davis, Lucile."
Cesar Chavez : fighting for farmworkers,"Braun, Eric."
Chalk,"Thomson, Bill, 1963-"
Chalkboard chuckles : a book of classroom jokes,"Moore, Mark, 1947-"
Champion : the story of Muhammad Ali,"Haskins, James, 1941-2005."
Changes for Felicity : a winter story,"Tripp, Valerie, 1951-"
Changes for Josefina : a winter story,"Tripp, Valerie, 1951-"
Changes for Kit : a winter story,"Tripp, Valerie, 1951-"
Changes for Molly : a winter story,"Tripp, Valerie, 1951-"
Changes for Samantha : a winter story,"Tripp, Valerie, 1951-"
Changing colors,"Thompson, Gare."
Chanukah,"Rau, Dana Meachen, 1971-"
Chanukah lights everywhere,"Rosen, Michael J., 1954-"
Character building activities for kids : ready-to-use character education lessons & activities for the elementary grades,"Mannix, Darlene."
Charge of the lightning bugs,"Cummings, Troy."
Charles Lindbergh : a photo-illustrated biography,"Davis, Lucile."
Charlie & Mouse,"Snyder, Laurel,"
Charlie & Mouse & Grumpy,"Snyder, Laurel."
Charlie and the chocolate factory,"Dahl, Roald."
